Section,Text,Start_time_section,End_time_section,Section_offset,Start_time_combined,End_time_combined,Start_time_adjusted
1,when,1.24,1.39,55.71,56.95,57.1,0
1,henry,1.39,1.66,55.71,57.1,57.37,0.15
1,left,1.66,2,55.71,57.37,57.71,0.42
1,the,2,2.07,55.71,57.71,57.78,0.76
1,gym,2.07,2.42,55.71,57.78,58.13,0.83
1,on,2.42,2.53,55.71,58.13,58.24,1.18
1,this,2.53,2.74,55.71,58.24,58.45,1.29
1,particular,2.74,3.34,55.71,58.45,59.05,1.5
1,wednesday,3.34,4.04,55.71,59.05,59.75,2.1
1,he,4.41,4.54,55.71,60.12,60.25,3.17
1,stopped,4.54,4.89,55.71,60.25,60.6,3.3
1,to,4.89,4.96,55.71,60.6,60.67,3.65
1,watch,4.96,5.25,55.71,60.67,60.96,3.72
1,a,5.25,5.31,55.71,60.96,61.02,4.01
1,man,5.31,5.73,55.71,61.02,61.44,4.07
1,tear,5.73,6.03,55.71,61.44,61.74,4.49
1,down,6.03,6.33,55.71,61.74,62.04,4.79
1,a,6.33,6.37,55.71,62.04,62.08,5.09
1,circus,6.37,6.83,55.71,62.08,62.54,5.13
1,poster,6.83,7.42,55.71,62.54,63.13,5.59
1,then,8.06,8.46,55.71,63.77,64.17,6.82
1,with,8.46,8.68,55.71,64.17,64.39,7.22
1,three,8.68,8.93,55.71,64.39,64.64,7.44
1,nickels,8.93,9.41,55.71,64.64,65.12,7.69
1,and,9.41,9.64,55.71,65.12,65.35,8.17
1,one,9.64,9.9,55.71,65.35,65.61,8.4
1,dime,9.9,10.16,55.71,65.61,65.87,8.66
1,in,10.16,10.22,55.71,65.87,65.93,8.92
1,his,10.22,10.38,55.71,65.93,66.09,8.98
1,pocket,10.38,10.92,55.71,66.09,66.63,9.14
1,he,11.16,11.32,55.71,66.87,67.03,9.92
1,went,11.32,11.51,55.71,67.03,67.22,10.08
1,to,11.51,11.62,55.71,67.22,67.33,10.27
1,the,11.62,11.71,55.71,67.33,67.42,10.38
1,corner,11.71,12.05,55.71,67.42,67.76,10.47
1,drugstore,12.05,12.62,55.71,67.76,68.33,10.81
1,to,12.62,12.75,55.71,68.33,68.46,11.38
1,buy,12.75,12.93,55.71,68.46,68.64,11.51
1,a,12.93,13.03,55.71,68.64,68.74,11.69
1,chocolate,13.03,13.55,55.71,68.74,69.26,11.79
1,ice,13.58,13.86,55.71,69.29,69.57,12.34
